ID,CATEGORY,CLUE,ANSWER
243,SPELLED THE SAME,"Either an agricultural yield, or to manufacture something",produce
244,"ON THE ""B""-LIST","The late, great Bill Monroe was considered ""The Father of"" this type of music",Bluegrass
245,THE 1940s,"This PM was Time Magazine's Man of the Year for the first & last years of the 1940s, 1940 & 1949",Winston Churchill
246,YOU'LL NEED SOME BACKUP,& the Revolution,Prince
247,EPITAPHS,"""Truth and history.  21 men.  The boy bandit king -- he died as he had lived""",Billy the Kid
248,IN THE MILITARY?,"The head of a large business firm may be called this naval rank ""of industry""",captain
249,"SAY WHAT, BOB?","A railroad man ""smoked my eyelids / and punched my"" this--sure you haven't got that backwards, Bob?",a cigarette
250,"FILE UNDER ""F""","Justice Felix, or a hot dog",Frankfurter
251,ROYAL LITERATURE,1920: By Eugene O'Neill,<i>The Emperor Jones</i>
252,THAT'S MISTER TO YOU,"Pity the fool who doesn't know that he played Clubber Lang in ""Rocky III""",Mr. T
253,HITS OF THEN & NOW,"On ""Black Panther: The Album"" in 2018, this rapper gazed at ""All The Stars"" with SZA",Kendrick Lamar
254,HAND SIGNALS,"Churchill's 2-finger salute meant ""victory""; in the '60s, it meant this state that follows victory",Peace
255,SNOOP DOGG,"Word on the street is, in 2004 Snoop played Huggy Bear in the movie based on this '70s cop show",<i>Starsky & Hutch</i>
256,5-LETTER WORDS,"MTV's 1997 award for Best New Artist in a Video went to this ""Sleep to Dream"" singer with 2 5-letter names",Fiona Apple
257,THE COMICS,"""Deck us all with Boston Charlie..."" began the annual Christmas carol in this Walt Kelly strip",Pogo
258,FURNITURE,"Also known as the Sacco chair, it was designed by Zanotta of Milan & featured a bag filled with plastic beads",a bean bag (chair)
259,"GIVE UP THE ""SHIP""!","The status of belonging to an organization, or the number of people who belong to one",membership
260,SMALL-SCREEN CRIME FIGHTERS,"Played by Don Knotts, this small-screen cop helped keep the peace in Mayberry",Barney Fife
261,CLASSICAL COMPOSERS,"On the eve of the premiere of ""Carmen"", he was named a chevalier of the Legion of Honor",Georges Bizet
262,POETS,"""Heroic Stanzas"" was John Dryden's memorial to this Lord Protector of England",Oliver Cromwell
263,NEW ENGLAND HODGEPODGE,"Rockland, the ""Schooner Capital of"" this state, celebrates Schooner Days once a year",Maine
264,HOW DOES YOUR GARDEN GROW?,The finlike structures on the underside of mushroom caps are called these,Gills
265,TV STARS,"Maureen McCormick, who played Marcia on this TV series, recorded a country music album in 1995",<i>The Brady Bunch</i>
266,THE FOOD BUSINESS,In 1991 Louis Rich introduced a bacon made out of this meat,turkey
267,GEOGRAPHIC ETYMOLOGY,This European capital's name comes from a barrier built across a river flowing through it,Amsterdam
268,"SEMPER ""FI""","Countable, with an end or limit",finite
269,1776,"On December 5, at the College of William and Mary, this first fraternity was founded",Phi Beta Kappa
270,TONY ORLANDO!,Collective name for Tony's backup singers Telma Hopkins & Joyce Vincent,Dawn
271,RECENT MOVIES,Rosario Dawson moves into the title domicile in this 2023 film based on a Disney attraction,the <i>Haunted Mansion</i>
272,SHARING THE ISLAND,"Saint Martin (or Sint Maarten): 
France & this other one-time European colonial power",the Netherlands
273,"ON ""Q""",It's the Indian name for a large hard-shell clam,a quahog
274,"A GATHERING OF ANIMALS, SPEAKING LATIN","A shrewdness of these, family Hominidae, chimps included",apes
275,THUMB ENCHANTED EVENING,"The ""thumb"" on the geographic mitten that is Michigan juts into this Great Lake",Lake Huron
276,"<a href=""https://www.j-archive.com/media/2022-09-25_TJ_Cat6.mp4"">FASHION WITH BUZZY COHEN</a>","(<a href=""https://www.j-archive.com/media/2022-09-25_TJ_19.mp4"">Buzzy Cohen delivers the clue.</a>)  Back in the 1930s, the high fliers of the U.S. Army Air Corps needed eye protection & Ray-Ban came through with what we now call this iconic style of sunglasses, whose name means ""pilots""",the aviator
277,"STARTS WITH ""H""","In the '20s, Americans created this word to replace the French ""coiffure""",hairdo
278,NOTABLE WOMEN,This current senator's maiden name was Dianne Goldman,Feinstein
279,LITERARY TABLOID HEADLINES,"1597:
""Families vow to end feud after Verona teens' double suicide""",<i>Romeo and Juliet</i>
280,"""N""TICE ME!","An instrumental figure in ending school segregation, Roy Wilkins headed this organization for over 20 years",the NAACP
281,SHAKING UP SHAKESPEARE,"Coach Benedick & Professor Beatrice face off in ""About Face"", a college-set musical update of this comedy",<i>Much Ado About Nothing</i>
282,SOUTHERN BOOKSTORE,Carson McCullers told this tale of a 12-year-old taking an overly active role in her older brother's pending nuptials,<i>The Member of the Wedding</i>
283,NAMES OF THE '80s,In 1986 Howard the Duck lost at the box office & this American won the Tour de France,Greg LeMond
284,PILLOW TALK,Tradition says after a wedding a single girl puts this under her pillow so she'll dream of a future spouse,a slice of wedding cake
285,RED,"Seen <a href=""http://www.j-archive.com/media/2001-09-27_J_07.jpg"" target=""_blank"">here</a>, it's rolled out for important occasions",the red carpet
286,BOOKS & AUTHORS,"""1984"" was a 1949 book by Eric Blair written under this pen name",George Orwell
287,THEY DIFFER BY ONE LETTER,A mallard's playing card set,a duck deck
288,DON QUIZ-OTE,In 1967 this man's aircraft company merged with McDonnell Aircraft,(Donald) Douglas
289,THE INC. SPOTS,"It's the geographic ""P"" in the name of San Francisco-based power company PG&E",Pacific
290,A DISASTER OF BIBLICAL PROPORTIONS,"In 2 Kings this king of Babylon ""cut in pieces all the vessels of gold... in the Temple of the Lord""",Nebuchadnezzar
291,DESIGN,"Eero Saarinen designed the Ingalls Hockey Rink for this New Haven university, his alma mater",Yale
292,4th CENTURY BOOKSTORE,"Chrysostom's book about parenting says don't overdo this: ""Threaten (a child) with the tawse, but do not lay it on""",beating a child
293,3-LETTER SPANISH WORDS,"Domingo, Lunes or Martes, for example",Dia
294,DE NERO,"Having had enough of Nero's antics, this august political body decreed his death; he fled",the Senate
295,NOVELS,This novel by J.D. Salinger chronicles 2 days in the life of a prep school student,<i>The Catcher in the Rye</i>
296,ASTRONOMERS,In 1980 this Cornell astronomer co-founded the planetary society & served as its first president,(Carl) Sagan
297,POP MUSIC,"He didn't do too badly in 1982 with ""Hurts So Good""",John Cougar (Mellencamp)
298,TITLE ACTORS,"""The People vs. Larry Flynt""",Woody Harrelson
299,AMERICA,"The Guadalupe, Trinity & Sabine Rivers all flow through this state",Texas
300,I SAT IN FOR REGIS,"The 1993 NASCAR Rookie of the Year, this driver of the 24 car has zoomed into Regis' chair a few times",Jeff Gordon
301,CALENDAR GIRLS,"Donna Douglas played this ""Beverly Hillbillies"" gal on TV & Erika Eleniak played her in the 1993 movie",Elly May
302,"JAVA, THE HUT","After World War II, Paris's Cafe de Flore became awash with tourists hoping to find <a href=""http://www.j-archive.com/media/2007-04-20_J_30.jpg"" target=""_blank"">this</a> man pondering the purpose of being",(Jean-Paul) Sartre
303,FAMOUS PAIRS,"They were first paired up in the RKO film ""Flying Down to Rio""; ""Top Hat"" was a more successful venture for them & the studio",Fred Astaire & Ginger Rogers
304,SHOW & TELL,"<a href=""http://www.j-archive.com/media/2011-05-04_J_04.jpg"" target=""_blank"">This</a> dog's coat protects it from frigid temperatures",Afghan
305,PULITZER-WINNING NOVELS,"From this book's penultimate paragraph: ""There had never been a man she couldn't get, once she set her mind upon him""",<i>Gone with the Wind</i>
306,THE EISNER AWARDS,"A ""Batman"" <a href=""http://www.j-archive.com/media/2019-02-13_DJ_23.jpg"" target=""_blank"">cover</a> with the Joker & this villain helped Alex Ross win Best Cover award for 1999",Harley Quinn
307,TRAVEL EUROPE,"This Paris palace was destroyed by Communards in 1871, but the gardens of the same name are still around",Tuileries
308,BUSINESS & INDUSTRY,In 1994 Hormel's 5 billionth can of this luncheon meat rolled off the assembly line,Spam
309,POTPOURRI,In 2001 Sweden & the U.S. honored this award's 100th anniversary with a set of postage stamps,the Nobel Prize
310,FICTION,"His ""The World According to Garp"" & ""The Cider House Rules"" were both made into movies",(John) Irving
311,THE WIT & WISDOM OF W.C. FIELDS,"""I touch nothing stronger than buttermilk--90"" this ""buttermilk""",proof
312,TRAVELING ABROAD,Take firth things firth; the Antonine Wall was built across Scotland from the Firth of Clyde to this firth,the Firth of Forth
313,ISTHMUS BE THE PLACE,The isthmus of Tehuantepec is near this country's Tabasco Plain,Mexico
314,SWEET TREATS,"On Hanukkah it's traditional to give out chocolates shaped like these, in little bags",coins
315,"<a href=""https://www.j-archive.com/media/2022-02-08_J_Cat6.mp4"">STUFF YOU SHOULD KNOW</a>","(<a href=""https://www.j-archive.com/media/2022-02-08_J_18.mp4"">Chuck Bryant reads the clue.</a>)  In 2014, a so-called ""hurricane"" 600 miles wide arose in the ionosphere over the North Pole; the cyclone was composed of this substance dubbed ""the 4th state of matter""",plasma
316,AMERICAN INDIANS,"Though often credited with winning it, this Sioux medicine man sat out of the Battle of Little Big Horn",Sitting Bull
317,1999 EUROPEAN STAMPS,A Bugatti was on the 1999 stamp honoring the 70th anniversary of this principality's Grand Prix race,Monaco
318,LET'S SEE IF IT PAYS OFF FOR 'EM,"In 1996, one year after its founding, AuctionWeb moved more than $7 million in merchandise & in 1997 got this new name",eBay
319,AGRICULTURE,"Domesticated since 2000 B.C., its ancestors only laid about 12 eggs a year",the hen (the chicken)
320,ASTRONOMY,Both these planets on either side of Saturn also have rings,Jupiter and Uranus
321,"FROM THE ""PEN"" OF <u>WEBSTER'S THIRD</u>","""The shaded region surrounding the dark central portion of a sunspot""",penumbra
322,A QUICK STUDY,Gerontology,the elderly or old people (aging)
323,WORLD LITERATURE,"Born Jean-Baptiste Poquelin in 1622, he wrote his comedies under this pen name",Moli&egrave;re
324,SAY IT IN LATIN,Love conquers all things,<i>amor omnia vincit</i>
325,"MODERN ""TIME""S",To own a property jointly with others & use it in common but at different times,time-share
326,THE NEANDERTHALS,"Some Neanderthals hunted megafauna like the mammoth, the wooly rhino & this wild ox, the ancestor of domestic cattle",the aurochs
327,LET'S BLOW,"In a crash, sensors trigger an explosion that produces nitrogen gas to inflate this device introduced in the '80s",an airbag
328,"STARTING ""EN""",It's a letter from the pope to Catholic churches worldwide,encyclical
329,BAD NEWS,"This painter said ""Ear's to ya"" when he attacked roommate Paul Gauguin in late 1888",Vincent Van Gogh
330,WHICH CAME FIRST?,"Castro,
Stalin,
Lenin,
Tito",Lenin
331,TECH COMPANIES?,"In 2007 President Bush said he'd do this ""to the finish...that's one way to ensure that I am relevant""",sprint
332,SPEECH!  SPEECH!,"Farewell address to Congress, April 19, 1951",Douglas MacArthur
333,ANTONYMS,Anagram of drain that's an antonym of zenith,nadir
334,HOT FOR CREATURE,"Birds don't have these glands, so they take heat out of their bodies using a version of panting",sweat glands
335,ACTOR-DIRECTORS,"His career as an actor-director has been largely a ""rocky"" one but also includes ""The Expendables""",(Sylvester) Stallone
336,"HEY, J.J.!","In the '50s, <a href=""http://www.j-archive.com/media/2008-05-28_DJ_18.jpg"" target=""_blank"">he</a> became friends with another innovative alliterative artist, Robert Rauschenberg",Jasper Johns
337,"""LL""","Pre-lite beer he'd already starred in films, not only as the hero he created but as himself",Mickey Spillane
338,INTERNATIONAL CUISINE,Hungary is famous for this beef stew flavored with paprika,goulash
339,JUST SAY...,361 stones are used in this board game of Japan,Go
340,MYTHOLOGY,She was Orpheus' wife,Eurydice
341,"FILE UNDER ""C""",From 1774-1912 it was the capital of British India,Calcutta
342,PUT IT THERE,"El Capitan:
this national park",Yosemite National Park
343,LINGUISTICS,"""Schleicher's Fable"" was written by a linguist in 1868 in P.I.E. or Proto-this, the ancestor of tongues from Hindi to English",Indo-European
344,SCIENCE,Darwin explained how the fittest of each species survived through this evolutionary process,natural selection
345,THIS PLACE IS DUELSVILLE,"Pushkin fought his fatal duel in this city, just 34 years after it was founded",Saint Petersburg
346,LABOR,"This notice that consumers are encouraged to ""look for"" goes back to California carpenters in 1869",The Union Label
347,PEAKS & VALLEYS,"Numerous <a href=""https://www.j-archive.com/media/2022-10-26_J_10.jpg"" target=""_blank"">fumaroles</a> in a volcanic region of Alaska gave it the name Valley of the Ten Thousand these",Smokes
348,MUSIC VIDEOS,"At the beginning of her 2005 ""Boyfriend"" video, she is being chased by the police",Ashlee Simpson
349,THAT'S MY BOY!,"Unlike his father Pedro I, Pedro II worked to abolish slavery in this country",Brazil
350,BUSINESS BIGGIES,In 1981 accountant Roger B. Smith became CEO of this American automaker,General Motors
351,THE 50 STATES,An 1881 resolution established that this state's name was to be spelled one way but pronounced another,Arkansas
352,TRANSPORTATION,These San Francisco vehicles run at a steady pace of 9 1/2 miles per hour,cable cars
353,MILITARY LEADERS,"Noted for his eye patch, this general served as Israel's defense minister from 1967 to 1974",Moshe Dayan
354,TALES TO TELL,"The upshot is he won the Howell's Medal for his ""Wapshot Scandal""",John Cheever
355,19th CENTURY PRESIDENTS,Good looks weren't enough as he became the only full-term president rejected in a bid for his party's 2nd term nomination,Franklin Pierce
356,ONE GIANT LEAP,His important experiments included launching the 1st successful liquid propellant rocket; it only traveled 184 feet,Robert Goddard
357,PARADISE BY,"""Do you love me? Will you love me forever?"" are lyrics in this singer's ""Paradise By The Dashboard Light""",Meat Loaf
358,ANAGRAMS OF EACH OTHER,A spring month & a type of tuber,May yam
359,EARLY AMERICA,In 1626 this Dutchman arrived in New York Harbor aboard the ship Sea-Mew & settled on Manhattan,Peter Minuit
360,I WANT TO SUCK YOUR BLOOD!,Terminix offers a 30-day guarantee when removing these bloodsuckers--90 days if you buy a mattress encasement,bedbugs
361,SHAKESPEAREAN ROUND-UP,"Duke Senior is banished to the Forest of Arden by his brother in this ""amenable"" play",<i>As You Like It</i>
362,WHAT'S IN YOUR BRAIN?,Sulci are grooves on the brain surface; this German pathologist noted wide sulci in a 1906 autopsy of a dementia patient,Alzheimer
363,NONFICTION,"In the 1870s he wrote ""The Molly Maguires and the Detectives"" & ""Criminal Reminiscences and Det. Sketches""",Pinkerton
364,WHICH AFRICAN COUNTRY?,"It's highlighted <a href=""http://www.j-archive.com/media/2015-07-29_J_11.jpg"" target=""_blank"">here</a>",Somalia
365,THE TIGER,The largest population of wild tigers is found in this Asian country on about 30 wildlife reserves,India
366,HOSPITALS,"Now closed, the D.C. hospital named for him opened in 1909 & in WWI, went from 80 beds to 2,500 in months",Walter Reed
367,STATE THE NATIONAL MONUMENT,Little Bighorn Battlefield,Montana
368,WEATHER,"Their names for '85 include Nana, Bob, Claudette, & Danny",hurricanes
369,TOUGH TRIVIA,"With 81 million items & 535 miles of shelves, it's the largest single library in the world",Library of Congress
370,SIT ON IT!,"At the Jackie Kennedy Onassis auction in 1996, one of these chairs used by JFK sold for $442,500",a rocking chair
371,HOW TO,"In Italy, with pronto, in the Netherlands, with your name, & in the U.S., with hello",how do you answer the telephone
372,SONG STANDARDS,"According to Rodgers & Hart, it's ""where god paints the scenery""",in our mountain greenery
373,COOKING WITH GRAHAM KERR,"Toheroa, a giant green type of this shellfish shows up in one of Graham's special soups",clam
374,FAIRY TALES,"This man knighted the 2 swindlers & gave each the title of ""Gentleman Weaver""",the Emperor
375,POTPOURRI,The portrait on the U.S. $5 bill is from a photograph taken at this man's studio,Mathew Brady
376,AMERICAN HISTORY,"History was made on December 1, 1955 when bus driver James Blake called the police & had this person arrested",Rosa Parks
377,A DECEMBER TO REMEMBER,"On December 15, 1961 an Israeli court sentenced this man to death for World War II atrocities",Adolf Eichmann
378,"STARTS WITH ""WH""",It's the watery part of milk that separates from the curds when making cheese,whey
379,THE NEW JERSEY HALL OF FAME,"Alphabetically, this early American pamphleteer immediately preceded Joe Piscopo as 2013 honorees",Thomas Paine
380,FRUITS & VEGETABLES,The egg-shaped plum variety of this makes a great spaghetti sauce,the tomato
381,MOVIE PAIRS,Comic strip characters played on screen by Arthur Lake & Penny Singleton,Dagwood & Blondie
382,THE NEW WORLD,Ponce de Leon explored much of Florida while looking for this,the Fountain of Youth
383,POP CULTURE BOOKSHELF,"(<a href=""http://www.j-archive.com/media/2020-01-08_DJ_13.jpg"" target=""_blank"">Kevin Hart delivers the clue.</a>)  There's desert & snow & now, it's Danny Glover <a href=""http://www.j-archive.com/media/2020-01-07_DJ_13.mp4"">taking over</a> my avatar in ""Jumanji: The Next Level"", the most recent film inspired by a book written & illustrated by this man",Van Allsburg
384,GIFTS,"On Dec. 22, 1864 he telegraphed Lincoln, ""I beg to present you as a Christmas gift the city of Savannah""",William Tecumseh Sherman
385,MAKES SENSE--MOVIES EDITION,"In the ""Toy Story"" franchise, the Tyrannosaurus has this name",Rex
386,WORDS FROM 2 LETTERS,These 2 letters can often be seen growing on the sides of college buildings,I-V/ivy
387,UTENSILS,"This graduated tube with a rubber bulb is used to suck up liquid & drizzle it over meat, like a turkey on Thanksgiving",a baster
388,WORD PUZZLES,"<a href=""https://www.j-archive.com/media/2022-10-06_J_13.jpg"" target=""_blank"">Something the Brits enjoy</a>",afternoon tea
389,ENRAPTURED WITH RAPTORS,"In 1982 biologists began capturing the California species of this bird to breed it & save it from extinction; so far, so good",the California condor
390,ITALIAN COOKING,"Name for a platter of sausage, fish, vegetables & cheese, but only if served before the pasta course",antipasto
391,ANCIENT WORLDS,"Circa 8 A.D., Wang Mang seized this country's throne & founded his own dynasty",China
392,SCUBA DIVING,In 1996 the destroyed HMCS Columbia was sunk to make an artificial one of these for divers,reef
393,OLD TESTAMENT,She died while giving birth to Benjamin,Rachel
394,EUROPEAN NATIONAL ANTHEMS,"""La Brabanconne""",Belgium
395,THE 1880s,In 1883 Belle Starr was convicted of stealing these,horses
396,TRADING PLACES,Its location at 18 Broad Street near Wall Street was designated a national historic landmark in 1978,the New York Stock Exchange
397,SPORTS STARS' FIRST NAME IN COMMON,Welterweight champ Mosley & Philadelphia Phillie Victorino,Shane
398,MONEY,It was the 1st country to use paper money,China
399,JOURNALISM,"It claims to provide ""All the news that's fit to print""",The New York Times
400,"ALL THE SMALL ""LING""s",Another one of your parents' offspring,a sibling
401,WRITERS OF COLONIAL AMERICA,Diarist William Byrd portrayed life in this colony where he owned a large James River plantation,Virginia
402,AMERICAN DIPLOMATS,"During the happenings that led to Iran-Contra, Harry E. Bergold, Jr. was ambassador to this country",Nicaragua
403,FASHION DESIGNERS,American designer Willi Smith's ready-to-wear label,Williwear
404,HAM,Ham lover seen here:,Sam-I-Am
405,IN THE OCEAN,"The ""Eurotunnel"" to link France & England is being dug under this strait",the Strait of Calais (the Pas de Calais or the Dover Strait)
406,ROCK ART,"She's painted the covers for many of her own albums, including ""Ladies of the Canyon"" & ""Both Sides Now""",Joni Mitchell
407,EDGAR AWARD WINNERS,"He won for his novel ""The Day of the Jackal"" & the short story ""There Are No Snakes in Ireland""",(Frederick) Forsyth
408,STATE CAPITALS,It lies at the confluence of the Mississippi & Minnesota rivers,St. Paul
409,ARTISTS,Houdon's marble statue of this Enlightenment philosopher seated is at the Comedie Francaise,Voltaire
410,A SPECIAL TRAIN CAR,"<a href=""https://www.j-archive.com/media/2023-05-04_DJ_10.jpg"" target=""_blank"">These</a> cars named for the architectural shape up top were the ultimate in mid-century luxury & great <a href=""https://www.j-archive.com/media/2023-05-04_DJ_10a.jpg"" target=""_blank"">views</a>",a dome car
411,BIOLOGY,Oxygen is a waste product of this metabolic process in green plants,photosynthesis
412,"IT'S AN ""AD"", ""AD"", ""AD"", ""AD"" WORLD",This South Australian city lies at the base of the Mount Lofty Ranges,Adelaide
413,JOURNALISM CLICHES,"A recent search on the nexis.com database found 580 uses in a month of ""shrouded in secrecy"" or ""shrouded in"" this",mystery
414,SCI FI MOVIE SUMMARIES,1977: Certain folks can't get a Wyoming landmark out of their heads & go there to meet new friends,<i>Close Encounters of the Third Kind</i>
415,THEY ALMOST STARRED IN...,"Tallulah Bankhead refused this supporting role in ""Gone with the Wind"", wishing no one to call her madam",Belle Watling
416,GEOGRAPHY,"Founded by Chinese miners in 1857, it's Malaysia's capital",Kuala Lumpur
417,COLORFUL QUOTES,"Stephen Foster dreamed of her, ""floating like a vapor on the soft summer air""",Jeannie with the light brown hair
418,PEOPLE,"She lamented, ""People only want to remember me for that one shower scene in 'Psycho'""",Janet Leigh
419,QUOTATIONS,"Vince Lombardi said ""There are three important things in life: family, religion and"" this team",the Green Bay Packers
420,HOW TO MARRY A MILLIONAIRE,"Like Manilow's ""Lola"",  <a href=""http://www.j-archive.com/media/2006-04-20_J_11.jpg"" target=""_blank"">Evelyn Nesbitt</a> was one of these theater females; in 1906, her rich, crazy husband shot her ex-lover",showgirl
421,CLUB HOPPIN',For years you could find Pete Fountain playing the clarinet at his own club on Poydras St. in this Southern city,New Orleans
422,THE OSCARS,Oscar holds one of these,sword
423,FRIEND LIKE ME,"George Vancouver named the highest point in Washington state for his friend Pete, this British admiral",(Peter) Rainier
424,THE MARQUIS DE SADE,"In the film ""Quills"" this Australian actor garnered an Oscar nomination for his role as de Sade in the last years of his life",Geoffrey Rush
425,"SOUNDS KINDA ""IFF""-Y","The first ""T"" in GATT, they're taxes one nation puts on goods imported from another",Tariffs
426,"<a href=""http://www.j-archive.com/media/2020-01-14_J_Cat4.mp4"">THE GREATEST CANADIANS OF ALL TIME</a>","(<a href=""http://www.j-archive.com/media/2020-01-14_J_16.jpg"" target=""_blank"">Ryan Reynolds delivers the clue.</a>)  With a performing style that was, ah, quirky--he'd hum & sway as he played--<a href=""http://www.j-archive.com/media/2020-01-14_J_16a.jpg"" target=""_blank"">this</a> pianist leaped into international acclaim with his 1955 recording of Bach's ""Goldberg Variations""",Glenn Gould
427,NEWSPAPERS & MAGAZINES,"Along with its famous 500 list of U.S. companies, this magazine also ranks the 50 largest U.S. banks",Fortune
428,TOP 40 MATH,"Tennessee Ernie Ford's ""Tons"" times Eddie Money's ""Tickets To Paradise""",32
429,A FEW GOOD MEN,He was the last of several U.S. presidents who graduated from a military academy,Jimmy Carter (from the Naval Academy)
430,ROCKS & MINERALS,"This ore of aluminum was named for Les Baux, a place in southeast France",bauxite
431,Y IS THE ONLY VOWEL,Cunning or crafty,sly
432,AFRICAN COUNTRIES,"Some in Puntland, part of this East African country, defend piracy as a response to illegal fishing & toxic dumping",Somalia
433,BOOKS & AUTHORS,"A savage named John has educated himself by reading Shakespeare in ""Brave New World"" by this man",Aldous Huxley
434,SAME FIRST & LAST LETTER,"It can mean a priest of the Anglican Church, or a person in charge of a school",rector
435,AFTER-SCHOOL CLUBS,"It's Greek to me, but you math whizzes might recognize the <a href=""http://www.j-archive.com/media/2014-07-22_J_29.jpg"" rel=""external"">logo</a> for this national honor society",Mu Alpha Theta
436,MOVIES WITHIN MOVIES,"Andy & Red view the Rita Hayworth film ""Gilda"" in this movie based on a Stephen King tale",<i>The Shawshank Redemption</i>
437,OHIO,The largest single employer of this city associated with aviation is Wright-Patterson Air Force Base,Dayton
438,DISNEY SONGS,Simba & Nala sing it on realizing they've found romance,"""Can You Feel The Love Tonight"""
439,U.S. GEOGRAPHY,"This state's highest point is Puu Wekiu, a cinder cone atop Mauna Kea",Hawaii
440,THE WORLD OF SPORTS,"The Canadian version of this sport has 12 men on a side, & the field is 110 yards long",football
441,SCIENCE,Environment in which you'd find the hairy blenny at home,the ocean (tropical waters)
442,"""HOUSE""",A get-to-know-me party given by someone who's just moved in,a housewarming
443,THE SUPREME COURT,"Every attorney who argues a case before the Supreme Court receives this type of pen, but not the inkwell",a quill
444,<u>THE RAVEN</u>-POURRI,"""Presently my soul grew stronger"", & I'd wait no longer! This ""small"" French cake I'd make, I swore!  ""Quoth the raven...""",petit four
445,GENESIS,"God made all sorts of these, including one of life & one of the knowledge of good & evil",Trees
446,THIS JUST IN,"Election news! the town of Rabbit Hash in this ""Bluegrass State"" elected Lucy Lou, a border Collie, as its new mayor",Kentucky
447,U.S. LANDMARKS,"Last Memorial Day, a Vietnam casualty was interred at this Arlington shrine",the Tomb of the Unknown Soldier
448,A POP CULTURE THANKSGIVING,Justin Theroux starred in this HBO series in which 2% of the world's population had disappeared--was it the rapture?,<i>The Leftovers</i>
449,AUTHORS & THEIR PETS,"This ""Where the Wild Things Are"" author had a ""tame thing"", a German shepherd named Herman",(Maurice) Sendak
450,YOU DON'T MESS WITH THE LOHAN,"Lindsay rumbled with this ""Simple Life"" star over her ex, Stavros Niarchos",Paris Hilton
451,RODENTS OF UNUSUAL SIZE,"The recently discovered <a href=""http://www.j-archive.com/media/2017-07-04_DJ_05.jpg"" target=""_blank"">Laotian giant this rodent</a> can reach 42 inches in length",a flying squirrel
452,THE PRESIDENTIAL VICTOR,He waxed Wendell Willkie in wartime,Franklin D. Roosevelt
453,PRESIDENTIAL RELATIVES,This president gave the bride away when his niece Eleanor married his cousin Franklin,Teddy Roosevelt
454,CITY SPEAK,Syndrome (coined in the 1970s),Stockholm
455,WILL SMITH MOVIES,"1997:
""When do I get my own flashy, little memory messer-upper thing?""",<i>Men in Black</i>
456,TV STARS,"After 12 seasons, in 2011 Christopher Meloni said goodbye to his character Elliot Stabler on this drama",<i>Law and Order: SVU</i>
457,NICARAGUA,"Nicaragua is the poorest country in Central America & 300,000 of its 6 million people have moved to this country just south",Costa Rica
458,AUTHORS,"This author's ""The Scarlet Letter"" was inspired by a red cloth he found at the Salem Custom House",Nathaniel Hawthorne
459,STATE THE STATE,"<a href=""http://www.j-archive.com/media/2010-05-31_J_12.jpg"" target=""_blank"">It</a>'s bigger than it looks",Montana
460,"<a href=""https://www.j-archive.com/media/JM_2023-05-22_DJ_Cat6.mp4"">PURE POETRY</a>","(<a href=""https://www.j-archive.com/media/JM_2023-05-22_DJ_13.mp4"">Ada Limón reads.</a>)  From French for ""step over"", this technique in which a thought runs on from one line to the next imports a free-flowing feel, as in Eliot's ""April is the cruellest month, breeding
/ Lilacs out of the dead land""",enjambment
461,T-N-C,Instability in the atmosphere that means it's time to buckle your airplane seatbelt,turbulence
462,CHARITABLE FOLKS,"L.A. has a contemporary art museum & a playhouse named for <a href=""http://www.j-archive.com/media/2018-03-02_J_20.jpg"" target=""_blank"">this</a> music & movie mogul",David Geffen
463,REMEMBER SEPTEMBER?,In February 1991 he formed Haiti's first democratic government; in September he was ousted by a coup,Aristide
464,THAT'S A CAR MODEL,A Volkswagen hatchback: a sport you can literally take a whack at,a Golf
465,NONFICTION,"She wrote the 1935 book ""Sex and Temperament in Three Primitive Societies""",Margaret Mead
466,STATE FLAGS,"Ship accessory pictured on flag of Wisconsin & Rhode Island, it's also found on Popeye's arm",anchor
467,19th CENTURY QUOTATIONS,"He once said, ""I have constructed 3,000 different theories in connection with the electric light""",Edison
468,JANE GOODALL,"Within weeks of arriving in Africa in 1957, I met <a href=""http://www.j-archive.com/media/2012-03-19_J_06.jpg"" target=""_blank"">this</a> paleontologist who soon hired me as an assisstant",(Louis) Leakey
469,THE ADAMS FAMILY,"""The Education of"" this ""Adams"" is considered a classic in American literature",Henry Adams
470,DECONSTRUCTING THE NURSERY RHYME,"Obviously involved in a troubled marriage, this man locked his wife in a large version of the fruit of his dining choice","Peter, Peter, Pumpkin Eater"
471,NOVELS,"Billy, whose dogs are Old Dan & Little Ann, finds out ""Where"" this ""Grows"" in a book by Wilson Rawls",<i>the Red Fern</i>
472,ALL OVER THE MAP,"Looming over Zermatt:
this 14,692-foot peak",the Matterhorn
473,MINNESOTANS,Their Rochester clinic dates back to 1889,the Mayo Brothers
474,GET A JOB ALREADY!,"Medieval job choices for kids were limited, but there was this one of trainee & servant of a knight",page
475,LITERATURE,"While writing this trilogy, J.R.R. Tolkien read chapters to C.S. Lewis",<i>The Lord of the Rings</i>
476,"""S""TUFF",This term for the illegal selling of concert tickets sounds like a bad way to lose your hair,scalping
477,MUSICALS,"After 3,388 performances & an 8-year run, this musical was no longer ""the word"" when it closed April 13, 1980",<i>Grease</i>
478,FAMILY FILMS,"This film from Joel & Ethan Coen was partly based on Homer's ""Odyssey""","<i>O Brother, Where Art Thou?</i>"
479,HALOGENS,"Astatine is the only halogen whose isotopes are all this, which is why they have half-lives",radioactive
